model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,Make
 A1,2014,13995,Semi-Auto,15300,Petrol,125.0,53.3,1.4,audi
 Q3,2018,25995,Semi-Auto,9185,Petrol,145.0,48.7,1.4,audi
 Q2,2019,25995,Manual,1592,Petrol,145.0,39.2,1.5,audi
 A1,2016,10995,Manual,45644,Diesel,0.0,80.7,1.6,audi
 Q8,2019,48995,Semi-Auto,4488,Diesel,145.0,33.6,3.0,audi
 Q5,2016,33995,Semi-Auto,29156,Diesel,235.0,42.2,3.0,audi
 A1,2015,12298,Manual,15837,Petrol,30.0,58.9,1.4,audi
 Q3,2016,15998,Manual,15264,Diesel,30.0,61.4,2.0,audi
 Q2,2018,18998,Manual,8211,Diesel,150.0,49.6,1.6,audi
 Q2,2017,21995,Manual,10962,Petrol,145.0,50.4,1.4,audi
 Q5,2016,28995,Semi-Auto,42187,Diesel,235.0,42.8,3.0,audi
 A1,2017,15995,Manual,8128,Petrol,30.0,55.4,1.4,audi
 A4,2016,13985,Manual,55697,Diesel,20.0,70.6,2.0,audi
 Q3,2015,13995,Manual,35446,Diesel,145.0,54.3,2.0,audi
 Q3,2016,18499,Semi-Auto,30366,Diesel,160.0,50.4,2.0,audi
 Q5,2017,27498,Semi-Auto,32090,Petrol,145.0,40.4,2.0,audi
 Q3,2015,15998,Semi-Auto,19300,Petrol,145.0,47.9,1.4,audi
 A4,2016,13998,Manual,37478,Diesel,0.0,74.3,2.0,audi
 A3,2019,24998,Semi-Auto,6266,Petrol,145.0,38.2,2.0,audi
 A1,2016,13995,Manual,8577,Petrol,30.0,55.4,1.4,audi
 A3,2018,18995,Manual,13147,Diesel,145.0,67.3,1.6,audi
 A6,2017,22995,Semi-Auto,24336,Diesel,145.0,61.4,2.0,audi
 Q2,2018,17495,Manual,23813,Petrol,145.0,55.4,1.0,audi
 Q2,2017,21995,Semi-Auto,17633,Petrol,145.0,52.3,1.4,audi
 A6,2015,16995,Semi-Auto,55220,Diesel,30.0,64.2,2.0,audi
 Q5,2017,22995,Semi-Auto,47952,Diesel,145.0,56.5,2.0,audi
 Q5,2014,19995,Semi-Auto,50500,Diesel,235.0,44.1,3.0,audi
 A1,2016,15495,Manual,31147,Petrol,30.0,56.5,1.4,audi
 Q2,2019,25998,Semi-Auto,79,Diesel,150.0,46.3,2.0,audi
 A5,2015,14500,Semi-Auto,56875,Diesel,150.0,53.3,2.0,audi
 A5,2015,18995,Manual,37056,Diesel,160.0,53.3,2.0,audi
 RS3,2018,39995,Semi-Auto,5431,Petrol,145.0,34.0,2.5,audi
 A1,2016,13995,Manual,31031,Petrol,30.0,56.5,1.4,audi
 A4,2015,17995,Semi-Auto,34906,Diesel,160.0,49.6,3.0,audi
 A4,2017,21995,Semi-Auto,14821,Diesel,145.0,64.2,3.0,audi
 A1,2016,15495,Manual,15307,Petrol,30.0,55.4,1.4,audi
 A4,2016,19995,Semi-Auto,23626,Petrol,160.0,45.6,2.0,audi
 A1,2016,12995,Manual,11892,Petrol,0.0,67.3,1.0,audi
 A1,2016,12995,Manual,42165,Petrol,30.0,56.5,1.4,audi
 A3,2019,31795,Semi-Auto,3036,Petrol,145.0,34.5,2.0,audi
 A4,2019,39995,Semi-Auto,2703,Diesel,145.0,40.9,3.0,audi
 Q7,2016,48995,Automatic,41032,Diesel,300.0,39.2,4.0,audi
 A3,2018,21495,Manual,8545,Diesel,145.0,53.3,1.6,audi
 A3,2016,13498,Manual,30287,Petrol,20.0,60.1,1.4,audi
 A3,2016,14998,Manual,1893,Petrol,20.0,60.1,1.4,audi
 A4,2017,16998,Manual,6896,Petrol,145.0,52.3,1.4,audi
 TT,2016,15498,Manual,34084,Diesel,30.0,62.8,2.0,audi
 A4,2017,13985,Semi-Auto,84222,Diesel,20.0,68.9,2.0,audi
 A3,2015,10385,Manual,68428,Diesel,0.0,83.1,1.6,audi
 Q5,2018,37500,Semi-Auto,20283,Petrol,150.0,34.0,3.0,audi
 A4,2016,11500,Manual,56235,Diesel,0.0,74.3,2.0,audi
 A8,2017,24500,Semi-Auto,37492,Diesel,205.0,47.1,3.0,audi
 Q5,2015,21500,Semi-Auto,66959,Diesel,265.0,41.5,3.0,audi
 Q5,2014,16000,Manual,46622,Diesel,205.0,47.9,2.0,audi
 A6,2013,11995,Semi-Auto,40003,Diesel,145.0,56.5,2.0,audi
 Q5,2018,38900,Semi-Auto,20300,Petrol,145.0,34.0,3.0,audi
 A5,2019,24498,Semi-Auto,50,Petrol,145.0,40.4,2.0,audi
 Q2,2016,19995,Manual,23426,Petrol,125.0,50.4,1.4,audi
 A3,2015,14995,Semi-Auto,46465,Petrol,30.0,54.3,1.4,audi
 Q5,2018,29995,Semi-Auto,14600,Diesel,145.0,55.4,2.0,audi
 A1,2019,23995,Manual,3232,Petrol,145.0,50.4,1.0,audi
 A1,2017,15995,Manual,16086,Petrol,30.0,55.4,1.4,audi
 A1,2017,13995,Manual,15981,Petrol,145.0,57.6,1.4,audi
 A7,2018,38995,Semi-Auto,6850,Diesel,145.0,38.2,3.0,audi
 A3,2017,18995,Manual,16668,Diesel,145.0,70.6,1.6,audi
 A7,2018,35995,Semi-Auto,13082,Petrol,145.0,39.8,3.0,audi
 A3,2019,18995,Semi-Auto,10522,Petrol,145.0,43.5,1.5,audi
 A3,2018,19995,Manual,12795,Petrol,145.0,47.1,1.0,audi
 Q5,2018,34995,Automatic,8250,Diesel,145.0,38.2,2.0,audi
 Q2,2019,23995,Automatic,5859,Diesel,145.0,47.9,1.6,audi
 A4,2019,37995,Automatic,8235,Diesel,145.0,44.1,2.0,audi
 Q3,2019,35995,Manual,5356,Diesel,145.0,40.9,2.0,audi
 A6,2019,34995,Automatic,5565,Diesel,145.0,47.9,2.0,audi
 A4,2017,16498,Manual,13122,Petrol,145.0,52.3,1.4,audi
 Q2,2019,26495,Manual,2940,Petrol,145.0,39.2,1.5,audi
 Q5,2016,21995,Semi-Auto,26500,Diesel,200.0,47.1,2.0,audi
 A8,2020,52995,Semi-Auto,1100,Diesel,145.0,40.4,3.0,audi
 Q5,2018,30995,Semi-Auto,24408,Petrol,145.0,40.4,2.0,audi
 RS4,2020,69995,Semi-Auto,2200,Petrol,145.0,28.8,2.9,audi
 A7,2020,51995,Semi-Auto,500,Diesel,145.0,38.7,3.0,audi
 A4,2016,21995,Semi-Auto,47600,Diesel,145.0,56.5,2.0,audi
 A3,2018,22995,Automatic,17252,Petrol,145.0,56.5,1.5,audi
 A5,2017,19945,Semi-Auto,49287,Diesel,145.0,62.8,2.0,audi
 A5,2017,22945,Semi-Auto,47446,Diesel,145.0,62.8,2.0,audi
 A5,2017,22990,Semi-Auto,14589,Diesel,30.0,65.7,2.0,audi
 A4,2016,13995,Manual,41279,Diesel,0.0,74.3,2.0,audi
 Q7,2018,60995,Automatic,3893,Diesel,145.0,39.2,4.0,audi
